BatchId,EntryId,PartNo,PartName,TechId,TechName,ShiftId,ShiftName,TeamId,TeamName,EntryStartTime,EntryEndTime,TAGNAME,TAGDESCRIPTION,VALUE,MYTIME
1911TH####023,1911TH####023_YP9B,451211000,泰山(宏图)烟丝,LAC,叶片加料-9K,2,中班,1,甲班,2019/11/14 18:22,2019/11/14 18:55,T_LAC9_ADD_CstLiqdFlowStdDv,润叶加料料液流量标准偏差,0.12398512,56:25.0
1911TH####023,1911TH####023_YP9B,451211000,泰山(宏图)烟丝,LAC,叶片加料-9K,2,中班,1,甲班,2019/11/14 18:22,2019/11/14 18:55,T_LAC9_BEL_TbcLeafFlowStdDv,润叶加料烟叶流量标准偏差,11.85959678,56:22.0
1911TG####025,1911TG####025_YP5A,451212000,泰山(华贵)烟丝,LAC5,叶片加料-5K,2,中班,1,甲班,2019/11/14 18:00,2019/11/14 18:58,T_LAC5_BEL_TbcLeafFlowStdDv,润叶加料烟叶流量标准偏差,49.94667067,58:24.0
1911TG####025,1911TG####025_YP5A,451212000,泰山(华贵)烟丝,LAC5,叶片加料-5K,2,中班,1,甲班,2019/11/14 18:00,2019/11/14 18:58,T_LAC5_ADD_CstLiqdFlowStdDv,润叶加料料液流量标准偏差,0.12225266,58:27.0
1911TH####024,1911TH####024_YP9B,451211000,泰山(宏图)烟丝,LAC,叶片加料-9K,2,中班,1,甲班,2019/11/14 19:18,2019/11/14 19:50,T_LAC9_ADD_CstLiqdFlowStdDv,润叶加料料液流量标准偏差,0.13198708,51:26.0
1911TH####024,1911TH####024_YP9B,451211000,泰山(宏图)烟丝,LAC,叶片加料-9K,2,中班,1,甲班,2019/11/14 19:18,2019/11/14 19:50,T_LAC9_BEL_TbcLeafFlowStdDv,润叶加料烟叶流量标准偏差,239.5912847,51:23.0
1911TG####026,1911TG####026_YP5A,451212000,泰山(华贵)烟丝,LAC5,叶片加料-5K,2,中班,1,甲班,2019/11/14 19:14,2019/11/14 20:13,T_LAC5_BEL_TbcLeafFlowStdDv,润叶加料烟叶流量标准偏差,103.5979593,13:40.0
1911TG####026,1911TG####026_YP5A,451212000,泰山(华贵)烟丝,LAC5,叶片加料-5K,2,中班,1,甲班,2019/11/14 19:14,2019/11/14 20:13,T_LAC5_ADD_CstLiqdFlowStdDv,润叶加料料液流量标准偏差,0.11998561,13:43.0
1911TG####025,1911TG####025_YP5B,451212000,泰山(华贵)烟丝,LAC5,叶片加料-5K,2,中班,1,甲班,2019/11/14 21:10,2019/11/14 21:58,T_LAC5_ADD_CstLiqdFlowStdDv,润叶加料料液流量标准偏差,0.13160679,58:28.0
1911TG####025,1911TG####025_YP5B,451212000,泰山(华贵)烟丝,LAC5,叶片加料-5K,2,中班,1,甲班,2019/11/14 21:10,2019/11/14 21:58,T_LAC5_BEL_TbcLeafFlowStdDv,润叶加料烟叶流量标准偏差,136.5064374,58:21.0
