部门编码,设备编码,通道号,设备号,微软标签,KEPWARE标签名,Address,Data Type,Description,备注
,KZS10,DL,DL,DL.DL.DL_KZS10_SQ_TAT7210_T1,DL_KZS10_SQ_TAT7210_T1,DB12.DBD188,FLOAT,三千线大区域测点1温度,
,KZS10,DL,DL,DL.DL.DL_KZS10_SQ_TAT7210_H2,DL_KZS10_SQ_TAT7210_H2,DB12.DBD192,FLOAT,三千线大区域测点2湿度,
,KZS10,DL,DL,DL.DL.DL_KZS10_SQ_TAT7210_T2,DL_KZS10_SQ_TAT7210_T2,DB12.DBD196,FLOAT,三千线大区域测点2温度,
,KZS10,DL,DL,DL.DL.DL_KZS10_SQ_TAT7210_H3,DL_KZS10_SQ_TAT7210_H3,DB12.DBD200,FLOAT,三千线大区域测点3湿度,
,KZS10,DL,DL,DL.DL.DL_KZS10_SQ_TAT7210_T3,DL_KZS10_SQ_TAT7210_T3,DB12.DBD204,FLOAT,三千线大区域测点3温度,
,KZS10,DL,DL,DL.DL.DL_KZS10_SQ_TAT7210_H4,DL_KZS10_SQ_TAT7210_H4,DB12.DBD208,FLOAT,三千线大区域测点4湿度,
,KZS10,DL,DL,DL.DL.DL_KZS10_SQ_TAT7210_T4,DL_KZS10_SQ_TAT7210_T4,DB12.DBD212,FLOAT,三千线大区域测点4温度,
,KZS10,DL,DL,DL.DL.DL_KZS10_SQ_TAT7210_H5,DL_KZS10_SQ_TAT7210_H5,DB12.DBD216,FLOAT,三千线大区域测点5湿度,
,KZS10,DL,DL,DL.DL.DL_KZS10_SQ_TAT7210_T5,DL_KZS10_SQ_TAT7210_T5,DB12.DBD220,FLOAT,三千线大区域测点5温度,
,KZS10,DL,DL,DL.DL.DL_KZS10_SQ_TAT7210_H6,DL_KZS10_SQ_TAT7210_H6,DB12.DBD224,FLOAT,三千线大区域测点6湿度,
,KZS10,DL,DL,DL.DL.DL_KZS10_SQ_TAT7210_T6,DL_KZS10_SQ_TAT7210_T6,DB12.DBD228,FLOAT,三千线大区域测点6温度,
,KZS10,DL,DL,DL.DL.DL_KZS10_ZK_TAT7208_H1,DL_KZS10_ZK_TAT7208_H1,DB12.DBD152,FLOAT,三千线真空回潮测点1湿度,
,KZS10,DL,DL,DL.DL.DL_KZS10_ZK_TAT7208_T1,DL_KZS10_ZK_TAT7208_T1,DB12.DBD156,FLOAT,三千线真空回潮测点1温度,
,KZS10,DL,DL,DL.DL.DL_KZS10_ZK_TAT7208_H2,DL_KZS10_ZK_TAT7208_H2,DB12.DBD160,FLOAT,三千线真空回潮测点2湿度,
,KZS10,DL,DL,DL.DL.DL_KZS10_ZK_TAT7208_T2,DL_KZS10_ZK_TAT7208_T2,DB12.DBD164,FLOAT,三千线真空回潮测点2温度,
,KZS10,DL,DL,DL.DL.DL_KZS10_ZK_TAT7208_H3,DL_KZS10_ZK_TAT7208_H3,DB12.DBD168,FLOAT,三千线真空回潮测点3湿度,
,KZS10,DL,DL,DL.DL.DL_KZS10_ZK_TAT7208_T3,DL_KZS10_ZK_TAT7208_T3,DB12.DBD172,FLOAT,三千线真空回潮测点3温度,
,KZS10,DL,DL,DL.DL.DL_KZS10_ZK_TAT7208_H4,DL_KZS10_ZK_TAT7208_H4,DB12.DBD176,FLOAT,三千线真空回潮测点4湿度,
,KZS10,DL,DL,DL.DL.DL_KZS10_ZK_TAT7208_T4,DL_KZS10_ZK_TAT7208_T4,DB12.DBD180,FLOAT,三千线真空回潮测点4温度,
,KZS5,DL,DL,DL.DL.DL_KZS5_CY_T_OUT,DL_KZS5_CY_T_OUT,DB12.DBD312,FLOAT,室外温度,
,KZS5,DL,DL,DL.DL.DL_KZS5_CY_H_OUT,DL_KZS5_CY_H_OUT,DB12.DBD316,FLOAT,室外湿度,
,KZS5,DL,DL,DL.DL.DL_KZS5_CY_VC7205_4_FB,DL_KZS5_CY_VC7205_4_FB,DB12.DBD320,FLOAT,混风阀开度反馈,
,KZS5,DL,DL,DL.DL.DL_KZS5_CY_TAT7205_H,DL_KZS5_CY_TAT7205_H,DB12.DBD324,FLOAT,室内平均湿度,
,KZS5,DL,DL,DL.DL.DL_KZS5_CY_TAT7205_T,DL_KZS5_CY_TAT7205_T,DB12.DBD328,FLOAT,室内平均温度,
,KZS5,DL,DL,DL.DL.DL_KZS5_CY_J7205_1_FB,DL_KZS5_CY_J7205_1_FB,DB12.DBD332,FLOAT,送风机运行状态,
,KZS5,DL,DL,DL.DL.DL_KZS5_CY_J7205_1.current,DL_KZS5_CY_J7205_1.current,DB12.DBD336,FLOAT,送风机电流,
,KZS5,DL,DL,DL.DL.DL_KZS5_CY_PID7205/SFJ_TJ.FB_IN,DL_KZS5_CY_PID7205/SFJ_TJ.FB_IN,DB12.DBD340,FLOAT,送风机频率,
,KZS5,DL,DL,DL.DL.DL_KZS5_CY_DATA.T_SP,DL_KZS5_CY_DATA.T_SP,DB12.DBD344,FLOAT,温度指标设置,
,KZS5,DL,DL,DL.DL.DL_KZS5_CY_DATA.H_SP,DL_KZS5_CY_DATA.H_SP,DB12.DBD348,FLOAT,湿度指标设置,
,KZS5,DL,DL,DL.DL.DL_KZS5_CY_PdS7205_3,DL_KZS5_CY_PdS7205_3,DB12.DBX352.0,boolean,初效过滤器堵塞,
,KZS5,DL,DL,DL.DL.DL_KZS5_CY_PdS7205_1_ALARM,DL_KZS5_CY_PdS7205_1_ALARM,DB12.DBX352.1,boolean,送风机两侧压差报警,
